Mutation Context,Frequency
Mutation.SWAP_U_OPERANDS_5_True_2,2
Mutation.ADD_X_6_None_4,2
Mutation.REMOVE_G_1_None_3,2
Mutation.ADD_NEGATION_5_True_1,2
Mutation.ADD_F_2_False_10,2
Mutation.REMOVE_LEFT_SUBFORMULA_3_None_7,2
Mutation.SWAP_OR_WITH_IMPLIES_3_None_10,2
Mutation.SWAP_OR_WITH_EQUIV_3_None_10,2
Mutation.ADD_X_4_None_9,2
Mutation.ADD_NEGATION_5_None_10,2
Mutation.ADD_X_4_None_11,2
Mutation.ADD_F_4_False_9,2
Mutation.ADD_G_4_False_10,2
Mutation.SWAP_X_WITH_F_4_False_8,2
Mutation.SWAP_X_WITH_G_4_None_9,2
Mutation.ADD_NEGATION_10_None_10,2
Mutation.SWAP_G_WITH_X_4_False_3,2
Mutation.ADD_NEGATION_5_True_3,2
Mutation.ADD_X_4_True_4,2
Mutation.ADD_G_1_False_3,2
Mutation.SWAP_G_WITH_F_4_False_2,2
Mutation.REMOVE_LEFT_SUBFORMULA_5_False_4,2
Mutation.REMOVE_LEFT_SUBFORMULA_1_True_3,2
Mutation.ADD_G_3_None_3,2
Mutation.ADD_X_5_True_3,2
Mutation.ADD_F_4_True_3,2
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_True_3,2
Mutation.REMOVE_F_1_None_2,2
Mutation.SWAP_AND_WITH_EQUIV_2_None_3,2
Mutation.SWAP_G_WITH_F_4_None_3,2
Mutation.REMOVE_NEGATION_2_None_2,2
Mutation.REMOVE_X_2_None_2,2
Mutation.REMOVE_F_3_None_2,2
Mutation.SWAP_AND_WITH_IMPLIES_3_False_1,2
Mutation.SWAP_AND_WITH_EQUIV_3_False_1,2
Mutation.SWAP_AND_WITH_OR_3_False_1,2
Mutation.ADD_X_3_False_6,2
Mutation.SWAP_OR_WITH_AND_1_None_2,2
Mutation.ADD_X_3_False_1,2
Mutation.ADD_G_2_True_3,2
Mutation.ADD_NEGATION_5_False_3,2
Mutation.ADD_X_4_False_5,2
Mutation.REMOVE_LEFT_SUBFORMULA_2_True_4,2
Mutation.ADD_X_3_True_4,2
Mutation.ADD_F_3_False_4,2
Mutation.SWAP_X_WITH_F_3_False_3,2
Mutation.SWAP_X_WITH_G_3_True_3,2
Mutation.SWAP_F_WITH_G_1_True_3,2
Mutation.SWAP_F_WITH_G_3_True_3,2
Mutation.SWAP_G_WITH_F_1_False_4,2
Mutation.SWAP_X_WITH_F_4_True_2,2
Mutation.SWAP_X_WITH_G_4_False_2,2
Mutation.SWAP_F_WITH_G_3_None_1,2
Mutation.SWAP_F_WITH_X_3_False_2,2
Mutation.ADD_G_1_True_3,2
Mutation.SWAP_G_WITH_F_1_False_3,2
Mutation.REMOVE_LEFT_SUBFORMULA_3_False_4,2
Mutation.ADD_F_3_None_4,2
Mutation.ADD_NEGATION_3_True_4,2
Mutation.SWAP_F_WITH_X_5_True_2,2
Mutation.SWAP_F_WITH_X_5_None_3,2
Mutation.SWAP_APS_0_None_4,2
Mutation.SWAP_F_WITH_X_4_False_3,2
Mutation.ADD_NEGATION_7_None_1,2
Mutation.REMOVE_RIGHT_SUBFORMULA_5_True_1,2
Mutation.REMOVE_LEFT_SUBFORMULA_5_True_1,2
Mutation.SWAP_X_WITH_F_4_False_3,2
Mutation.SWAP_OR_WITH_AND_4_False_3,2
Mutation.SWAP_U_WITH_W_3_None_1,2
Mutation.ADD_X_6_True_1,2
Mutation.REMOVE_G_2_True_2,2
Mutation.SWAP_IMPLIES_WITH_OR_4_None_3,2
Mutation.SWAP_G_WITH_X_2_None_4,2
Mutation.REMOVE_G_2_None_3,2
Mutation.REMOVE_X_4_False_3,2
Mutation.REMOVE_X_5_False_3,2
Mutation.ADD_X_7_True_2,2
Mutation.SWAP_OR_WITH_AND_3_True_2,2
Mutation.SWAP_OR_WITH_EQUIV_4_None_3,2
Mutation.REMOVE_RIGHT_SUBFORMULA_5_False_3,2
Mutation.SWAP_OR_WITH_IMPLIES_5_None_3,2
Mutation.SWAP_AND_WITH_IMPLIES_5_None_1,2
Mutation.SWAP_AND_WITH_EQUIV_5_None_1,2
Mutation.SWAP_AND_WITH_OR_5_None_1,2
Mutation.SWAP_AND_WITH_IMPLIES_3_True_2,2
Mutation.SWAP_IMPLIES_WITH_AND_5_None_2,2
Mutation.REMOVE_RIGHT_SUBFORMULA_6_None_1,2
Mutation.SWAP_AND_WITH_EQUIV_1_True_3,1
Mutation.SWAP_IMPLIES_WITH_OR_3_False_2,1
Mutation.SWAP_G_WITH_X_5_False_5,1
Mutation.SWAP_G_WITH_F_3_True_2,1
Mutation.SWAP_G_WITH_X_3_True_3,1
Mutation.SWAP_X_WITH_G_4_True_3,1
Mutation.SWAP_G_WITH_X_1_True_3,1
Mutation.SWAP_OR_WITH_AND_5_True_3,1
Mutation.REMOVE_NEGATION_7_True_3,1
Mutation.REMOVE_NEGATION_7_None_4,1
Mutation.ADD_X_7_None_4,1
Mutation.SWAP_U_OPERANDS_3_None_3,1
Mutation.REMOVE_RIGHT_SUBFORMULA_4_True_3,1
Mutation.ADD_G_5_False_5,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_6_True_3,1
Mutation.ADD_F_7_True_3,1
Mutation.ADD_F_8_False_4,1
Mutation.REMOVE_NEGATION_8_True_3,1
Mutation.SWAP_IMPLIES_WITH_OR_1_True_3,1
Mutation.SWAP_G_WITH_F_3_True_3,1
Mutation.SWAP_G_WITH_X_3_True_4,1
Mutation.SWAP_OR_WITH_AND_1_None_1,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_False_2,1
Mutation.REMOVE_NEGATION_4_False_4,1
Mutation.SWAP_APS_0_False_4,1
Mutation.ADD_F_1_True_5,1
Mutation.ADD_X_2_True_5,1
Mutation.ADD_F_2_None_5,1
Mutation.SWAP_G_WITH_F_2_None_5,1
Mutation.SWAP_G_WITH_X_2_None_5,1
Mutation.ADD_X_5_True_4,1
Mutation.ADD_G_5_True_4,1
Mutation.ADD_X_5_None_7,1
Mutation.ADD_F_4_False_5,1
Mutation.ADD_NEGATION_2_False_4,1
Mutation.ADD_X_4_True_5,1
Mutation.ADD_G_5_True_5,1
Mutation.SWAP_U_WITH_W_1_None_2,1
Mutation.ADD_X_5_False_1,1
Mutation.SWAP_G_WITH_F_2_False_2,1
Mutation.SWAP_OR_WITH_EQUIV_2_False_3,1
Mutation.REMOVE_F_3_False_4,1
Mutation.ADD_NEGATION_3_False_4,1
Mutation.SWAP_AND_WITH_IMPLIES_5_False_3,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_None_1,1
Mutation.SWAP_OR_WITH_EQUIV_2_True_3,1
Mutation.REMOVE_X_4_True_1,1
Mutation.SWAP_OR_WITH_IMPLIES_3_True_2,1
Mutation.SWAP_F_WITH_G_4_None_3,1
Mutation.SWAP_F_WITH_X_4_None_4,1
Mutation.SWAP_APS_0_None_10,1
Mutation.ADD_NEGATION_1_False_10,1
Mutation.ADD_X_1_False_11,1
Mutation.ADD_F_1_False_9,1
Mutation.REMOVE_RIGHT_SUBFORMULA_1_None_7,1
Mutation.REMOVE_LEFT_SUBFORMULA_1_None_5,1
Mutation.SWAP_OR_WITH_IMPLIES_1_True_10,1
Mutation.SWAP_OR_WITH_AND_1_True_17,1
Mutation.ADD_X_2_False_10,1
Mutation.SWAP_G_WITH_F_2_False_5,1
Mutation.SWAP_G_WITH_X_2_False_8,1
Mutation.REMOVE_G_2_False_7,1
Mutation.ADD_F_3_False_5,1
Mutation.REMOVE_RIGHT_SUBFORMULA_3_None_5,1
Mutation.REMOVE_RIGHT_SUBFORMULA_4_False_10,1
Mutation.REMOVE_LEFT_SUBFORMULA_4_False_10,1
Mutation.SWAP_AND_WITH_IMPLIES_4_False_10,1
Mutation.SWAP_AND_WITH_EQUIV_4_False_10,1
Mutation.SWAP_AND_WITH_OR_4_False_10,1
Mutation.REMOVE_RIGHT_SUBFORMULA_9_False_10,1
Mutation.REMOVE_LEFT_SUBFORMULA_9_False_10,1
Mutation.SWAP_AND_WITH_IMPLIES_9_False_10,1
Mutation.SWAP_AND_WITH_EQUIV_9_False_10,1
Mutation.SWAP_AND_WITH_OR_9_False_10,1
Mutation.ADD_NEGATION_2_True_7,1
Mutation.SWAP_G_WITH_F_2_False_7,1
Mutation.SWAP_G_WITH_X_2_False_7,1
Mutation.ADD_NEGATION_3_None_7,1
Mutation.ADD_F_3_False_7,1
Mutation.REMOVE_RIGHT_SUBFORMULA_3_None_7,1
Mutation.SWAP_U_WITH_W_4_None_1,1
Mutation.SWAP_IMPLIES_WITH_OR_2_None_4,1
Mutation.REMOVE_RIGHT_SUBFORMULA_3_None_4,1
Mutation.SWAP_AND_WITH_IMPLIES_3_True_3,1
Mutation.SWAP_AND_WITH_OR_3_True_3,1
Mutation.SWAP_EQUIV_WITH_AND_3_True_2,1
Mutation.SWAP_EQUIV_WITH_OR_3_None_3,1
Mutation.SWAP_X_WITH_F_4_True_1,1
Mutation.SWAP_X_WITH_F_4_None_2,1
Mutation.SWAP_X_WITH_G_4_None_2,1
Mutation.REMOVE_F_4_None_2,1
Mutation.SWAP_U_OPERANDS_3_True_3,1
Mutation.SWAP_G_WITH_F_3_False_3,1
Mutation.SWAP_AND_WITH_EQUIV_1_None_3,1
Mutation.SWAP_AND_WITH_OR_1_False_4,1
Mutation.SWAP_AND_WITH_EQUIV_5_False_4,1
Mutation.SWAP_IMPLIES_WITH_AND_1_True_3,1
Mutation.SWAP_AND_WITH_EQUIV_2_False_4,1
Mutation.SWAP_X_WITH_F_4_False_2,1
Mutation.ADD_G_4_None_2,1
Mutation.ADD_F_3_False_1,1
Mutation.REMOVE_LEFT_SUBFORMULA_4_True_3,1
Mutation.SWAP_AND_WITH_EQUIV_4_True_4,1
Mutation.SWAP_AND_WITH_OR_4_True_4,1
Mutation.ADD_F_5_None_4,1
Mutation.REMOVE_G_2_False_4,1
Mutation.SWAP_F_WITH_G_3_None_3,1
Mutation.SWAP_APS_0_False_3,1
Mutation.REMOVE_NEGATION_2_False_3,1
Mutation.ADD_X_2_None_4,1
Mutation.SWAP_U_WITH_W_2_False_2,1
Mutation.SWAP_U_OPERANDS_2_True_2,1
Mutation.SWAP_G_WITH_X_3_False_3,1
Mutation.SWAP_U_OPERANDS_1_None_2,1
Mutation.SWAP_F_WITH_G_2_False_1,1
Mutation.SWAP_EQUIV_WITH_AND_2_None_1,1
Mutation.SWAP_EQUIV_WITH_IMPLIES_2_False_1,1
Mutation.SWAP_OR_WITH_IMPLIES_1_None_2,1
Mutation.SWAP_AND_WITH_EQUIV_2_False_1,1
Mutation.SWAP_G_WITH_X_4_None_4,1
Mutation.SWAP_IMPLIES_WITH_OR_2_False_2,1
Mutation.REMOVE_NEGATION_5_True_2,1
Mutation.ADD_X_6_True_3,1
Mutation.SWAP_F_WITH_G_6_True_2,1
Mutation.SWAP_F_WITH_X_6_None_2,1
Mutation.ADD_F_6_False_4,1
Mutation.REMOVE_RIGHT_SUBFORMULA_7_None_2,1
Mutation.REMOVE_X_3_True_2,1
Mutation.ADD_NEGATION_6_None_4,1
Mutation.ADD_NEGATION_6_True_3,1
Mutation.REMOVE_NEGATION_2_None_3,1
Mutation.SWAP_OR_WITH_EQUIV_2_True_2,1
Mutation.REMOVE_NEGATION_4_False_3,1
Mutation.SWAP_U_OPERANDS_4_False_2,1
Mutation.SWAP_OR_WITH_IMPLIES_1_True_3,1
Mutation.ADD_NEGATION_2_True_1,1
Mutation.SWAP_G_WITH_F_1_None_7,1
Mutation.SWAP_G_WITH_X_1_None_8,1
Mutation.ADD_F_2_None_6,1
Mutation.REMOVE_LEFT_SUBFORMULA_2_None_6,1
Mutation.REMOVE_LEFT_SUBFORMULA_2_False_7,1
Mutation.SWAP_AND_WITH_IMPLIES_2_False_7,1
Mutation.SWAP_AND_WITH_EQUIV_2_False_10,1
Mutation.SWAP_AND_WITH_EQUIV_2_False_7,1
Mutation.SWAP_AND_WITH_OR_2_False_7,1
Mutation.SWAP_AND_WITH_EQUIV_3_False_4,1
Mutation.REMOVE_NEGATION_3_None_4,1
Mutation.REMOVE_X_3_None_3,1
Mutation.ADD_G_1_False_4,1
Mutation.REMOVE_F_2_True_3,1
Mutation.REMOVE_LEFT_SUBFORMULA_6_None_4,1
Mutation.ADD_NEGATION_7_None_4,1
Mutation.ADD_X_7_False_5,1
Mutation.ADD_NEGATION_9_None_4,1
Mutation.SWAP_F_WITH_G_1_None_4,1
Mutation.SWAP_F_WITH_X_1_None_5,1
Mutation.REMOVE_X_2_None_3,1
Mutation.REMOVE_X_2_False_2,1
Mutation.SWAP_G_WITH_X_1_False_5,1
Mutation.REMOVE_NEGATION_3_None_3,1
Mutation.ADD_NEGATION_3_False_5,1
Mutation.SWAP_AND_WITH_OR_5_False_4,1
Mutation.ADD_F_1_True_3,1
Mutation.SWAP_OR_WITH_EQUIV_5_False_2,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_None_1,1
Mutation.REMOVE_RIGHT_SUBFORMULA_4_False_1,1
Mutation.REMOVE_LEFT_SUBFORMULA_4_False_1,1
Mutation.SWAP_AND_WITH_IMPLIES_4_False_1,1
Mutation.SWAP_AND_WITH_EQUIV_4_False_1,1
Mutation.SWAP_AND_WITH_OR_4_False_1,1
Mutation.SWAP_F_WITH_G_2_True_1,1
Mutation.REMOVE_F_3_True_1,1
Mutation.REMOVE_F_3_False_3,1
Mutation.SWAP_U_WITH_W_2_True_3,1
Mutation.SWAP_U_WITH_W_2_True_2,1
Mutation.REMOVE_RIGHT_SUBFORMULA_1_None_3,1
Mutation.REMOVE_LEFT_SUBFORMULA_1_True_4,1
Mutation.SWAP_IMPLIES_WITH_AND_1_True_4,1
Mutation.SWAP_IMPLIES_WITH_OR_1_True_4,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_1_True_4,1
Mutation.REMOVE_X_2_None_4,1
Mutation.SWAP_X_WITH_F_2_False_4,1
Mutation.ADD_X_2_None_5,1
Mutation.ADD_F_2_False_3,1
Mutation.SWAP_F_WITH_G_2_None_3,1
Mutation.SWAP_F_WITH_X_2_None_4,1
Mutation.SWAP_U_WITH_W_3_True_2,1
Mutation.SWAP_F_WITH_G_1_None_3,1
Mutation.SWAP_F_WITH_X_1_None_4,1
Mutation.ADD_G_2_None_3,1
Mutation.SWAP_EQUIV_WITH_AND_2_True_3,1
Mutation.REMOVE_X_4_False_1,1
Mutation.REMOVE_G_4_None_2,1
Mutation.ADD_G_4_False_1,1
Mutation.SWAP_U_WITH_W_4_False_2,1
Mutation.SWAP_APS_0_None_5,1
Mutation.REMOVE_RIGHT_SUBFORMULA_2_None_4,1
Mutation.REMOVE_RIGHT_SUBFORMULA_2_None_5,1
Mutation.SWAP_IMPLIES_WITH_AND_2_True_4,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_True_5,1
Mutation.SWAP_X_WITH_G_3_False_3,1
Mutation.ADD_G_3_True_5,1
Mutation.ADD_G_3_None_5,1
Mutation.SWAP_F_WITH_G_3_None_5,1
Mutation.SWAP_F_WITH_X_3_True_4,1
Mutation.SWAP_F_WITH_X_3_None_5,1
Mutation.ADD_NEGATION_4_True_5,1
Mutation.ADD_G_4_True_5,1
Mutation.ADD_G_4_None_5,1
Mutation.REMOVE_RIGHT_SUBFORMULA_4_False_5,1
Mutation.REMOVE_LEFT_SUBFORMULA_4_False_5,1
Mutation.SWAP_AND_WITH_IMPLIES_4_False_5,1
Mutation.SWAP_AND_WITH_EQUIV_4_False_5,1
Mutation.SWAP_AND_WITH_OR_4_False_5,1
Mutation.REMOVE_NEGATION_5_None_5,1
Mutation.ADD_NEGATION_5_None_5,1
Mutation.ADD_NEGATION_2_None_1,1
Mutation.SWAP_IMPLIES_WITH_AND_1_None_3,1
Mutation.ADD_G_2_False_3,1
Mutation.ADD_G_3_False_4,1
Mutation.ADD_X_4_None_5,1
Mutation.REMOVE_RIGHT_SUBFORMULA_2_True_3,1
Mutation.ADD_X_3_True_5,1
Mutation.SWAP_OR_WITH_IMPLIES_3_True_3,1
Mutation.SWAP_OR_WITH_IMPLIES_3_True_4,1
Mutation.SWAP_OR_WITH_EQUIV_3_True_3,1
Mutation.SWAP_F_WITH_G_3_False_2,1
Mutation.SWAP_U_OPERANDS_3_None_2,1
Mutation.SWAP_U_WITH_W_4_True_2,1
Mutation.SWAP_U_OPERANDS_4_None_1,1
Mutation.SWAP_U_OPERANDS_4_False_3,1
Mutation.ADD_NEGATION_5_False_1,1
Mutation.REMOVE_LEFT_SUBFORMULA_3_False_1,1
Mutation.ADD_G_3_True_4,1
Mutation.SWAP_F_WITH_X_5_None_2,1
Mutation.REMOVE_LEFT_SUBFORMULA_6_None_1,1
Mutation.ADD_NEGATION_7_False_3,1
Mutation.ADD_NEGATION_7_True_3,1
Mutation.ADD_X_7_None_2,1
Mutation.SWAP_F_WITH_G_7_None_2,1
Mutation.SWAP_F_WITH_X_7_None_2,1
Mutation.ADD_NEGATION_8_None_1,1
Mutation.ADD_NEGATION_8_True_2,1
Mutation.ADD_G_5_False_4,1
Mutation.ADD_F_4_False_4,1
Mutation.REMOVE_LEFT_SUBFORMULA_4_None_4,1
Mutation.SWAP_U_OPERANDS_4_False_4,1
Mutation.ADD_NEGATION_5_None_4,1
Mutation.ADD_F_5_False_4,1
Mutation.ADD_X_5_False_5,1
Mutation.SWAP_OR_WITH_AND_3_None_3,1
Mutation.SWAP_OR_WITH_EQUIV_1_True_3,1
Mutation.ADD_F_2_False_1,1
Mutation.ADD_NEGATION_2_True_3,1
Mutation.SWAP_OR_WITH_AND_5_None_3,1
Mutation.ADD_X_5_True_2,1
Mutation.SWAP_OR_WITH_EQUIV_5_True_2,1
Mutation.REMOVE_NEGATION_3_True_1,1
Mutation.REMOVE_RIGHT_SUBFORMULA_5_True_3,1
Mutation.REMOVE_LEFT_SUBFORMULA_5_True_3,1
Mutation.ADD_X_6_True_4,1
Mutation.ADD_G_6_True_4,1
Mutation.SWAP_U_WITH_W_1_None_1,1
Mutation.SWAP_OR_WITH_AND_6_False_3,1
Mutation.SWAP_G_WITH_X_2_False_4,1
Mutation.SWAP_X_WITH_F_5_None_3,1
Mutation.SWAP_OR_WITH_AND_4_None_3,1
Mutation.ADD_F_5_True_1,1
Mutation.ADD_F_6_True_1,1
Mutation.REMOVE_F_4_True_2,1
Mutation.ADD_F_5_None_2,1
Mutation.SWAP_IMPLIES_WITH_OR_5_None_2,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_5_None_2,1
Mutation.REMOVE_RIGHT_SUBFORMULA_6_False_2,1
Mutation.REMOVE_LEFT_SUBFORMULA_6_False_2,1
Mutation.SWAP_AND_WITH_IMPLIES_6_None_1,1
Mutation.SWAP_AND_WITH_IMPLIES_6_False_2,1
Mutation.SWAP_AND_WITH_EQUIV_6_None_1,1
Mutation.SWAP_AND_WITH_OR_6_False_2,1
Mutation.REMOVE_RIGHT_SUBFORMULA_7_None_1,1
Mutation.REMOVE_LEFT_SUBFORMULA_7_None_2,1
Mutation.SWAP_OR_WITH_AND_6_True_1,1
Mutation.REMOVE_LEFT_SUBFORMULA_6_None_2,1
Mutation.REMOVE_RIGHT_SUBFORMULA_7_False_2,1
Mutation.REMOVE_LEFT_SUBFORMULA_7_False_2,1
Mutation.SWAP_AND_WITH_IMPLIES_7_False_2,1
Mutation.SWAP_AND_WITH_EQUIV_7_False_2,1
Mutation.SWAP_AND_WITH_OR_7_False_2,1
Mutation.SWAP_IMPLIES_WITH_OR_4_None_1,1
Mutation.ADD_G_1_None_2,1
Mutation.REMOVE_F_3_None_1,1
Mutation.REMOVE_NEGATION_5_False_3,1
Mutation.SWAP_IMPLIES_WITH_AND_4_None_3,1
Mutation.SWAP_IMPLIES_WITH_EQUIV_4_None_3,1
