If record the vehicle on northwest_3rd_street holds and change light_east red holds next, then record the pedestrian on northwest_6th_avenue holds in the step after that.;G((record_vehicle_northwest_3rd_street & X change_light_east_red) -> XX record_pedestrian_northwest_6th_avenue);['change_light_east_red', 'record_pedestrian_northwest_6th_avenue', 'record_vehicle_northwest_3rd_street']
If avoid the impending_fire_source holds and communicate the safe_victim holds next, then communicate the injured_victim holds in the step after that.;G((avoid_impending_fire_source & X communicate_safe_victim) -> XX communicate_injured_victim);['communicate_injured_victim', 'communicate_safe_victim', 'avoid_impending_fire_source']
If get_help holds and change light_west red holds next, then photo the cyclist on southeast_7th_avenue holds in the step after that.;G((get_help & X change_light_west_red) -> XX photo_cyclist_southeast_7th_avenue);['get_help', 'change_light_west_red', 'photo_cyclist_southeast_7th_avenue']
If idle holds and deliver the carrot to the shelf holds next, then search the sheep holds in the step after that.;G((idle & X deliver_carrot_shelf) -> XX search_sheep);['idle', 'search_sheep', 'deliver_carrot_shelf']
Whenever get_help and pickup the bicycle are equal, pickup the bicycle and pickup the clock are equal as well.;G((get_help <-> pickup_bicycle) -> (pickup_bicycle <-> pickup_clock));['get_help', 'pickup_clock', 'pickup_bicycle']
Whenever record unsafe_victim and communicate the injured_hostile are equal, communicate the injured_hostile and communicate the injured_rescuer are equal as well.;G((communicate_injured_hostile <-> record_unsafe_victim) -> (communicate_injured_hostile <-> communicate_injured_rescuer));['communicate_injured_rescuer', 'communicate_injured_hostile', 'record_unsafe_victim']
Whenever search the frisbee and pickup the train are equal, pickup the train and idle are equal as well.;G((pickup_train <-> search_frisbee) -> (idle <-> pickup_train));['idle', 'search_frisbee', 'pickup_train']
Whenever avoid the probable_fire_source and get_help are equal, get_help and photo safe_rescuer are equal as well.;G((avoid_probable_fire_source <-> get_help) -> (get_help <-> photo_safe_rescuer));['get_help', 'photo_safe_rescuer', 'avoid_probable_fire_source']
Whenever get_help and search the toilet are equal, search the toilet and idle are equal as well.;G((get_help <-> search_toilet) -> (idle <-> search_toilet));['get_help', 'idle', 'search_toilet']
Whenever change light_west red and record the jaywalker on east_10th_street are equal, record the jaywalker on east_10th_street and record the person on southeast_3rd_street are equal as well.;G((change_light_west_red <-> record_jaywalker_east_10th_street) -> (record_jaywalker_east_10th_street <-> record_person_southeast_3rd_street));['change_light_west_red', 'record_jaywalker_east_10th_street', 'record_person_southeast_3rd_street']
Whenever deliver_aid the injured_victim and avoid the probable_flood are equal, avoid the probable_flood and go_home are equal as well.;G((avoid_probable_flood <-> deliver_aid_injured_victim) -> (avoid_probable_flood <-> go_home));['avoid_probable_flood', 'go_home', 'deliver_aid_injured_victim']
Whenever record the vehicle on north_6th_avenue and photo the motorcycle on northwest_9th_avenue are equal, photo the motorcycle on northwest_9th_avenue and get_help are equal as well.;G((photo_motorcycle_northwest_9th_avenue <-> record_vehicle_north_6th_avenue) -> (get_help <-> photo_motorcycle_northwest_9th_avenue));['get_help', 'record_vehicle_north_6th_avenue', 'photo_motorcycle_northwest_9th_avenue']
Whenever pickup the giraffe and get_help are equal, get_help and pickup the knife are equal as well.;G((get_help <-> pickup_giraffe) -> (get_help <-> pickup_knife));['get_help', 'pickup_giraffe', 'pickup_knife']
Whenever record the collision on northwest_9th_street and record the vehicle on north_8th_avenue are equal, record the vehicle on north_8th_avenue and get_help are equal as well.;G((record_collision_northwest_9th_street <-> record_vehicle_north_8th_avenue) -> (get_help <-> record_vehicle_north_8th_avenue));['get_help', 'record_collision_northwest_9th_street', 'record_vehicle_north_8th_avenue']
Whenever photo fire_source and get_help are equal, get_help and photo unsafe_person are equal as well.;G((get_help <-> photo_fire_source) -> (get_help <-> photo_unsafe_person));['get_help', 'photo_unsafe_person', 'photo_fire_source']
Whenever record the car on east_2nd_street and photo the pedestrian on southeast_8th_street are equal, photo the pedestrian on southeast_8th_street and change light_north green are equal as well.;G((photo_pedestrian_southeast_8th_street <-> record_car_east_2nd_street) -> (change_light_north_green <-> photo_pedestrian_southeast_8th_street));['change_light_north_green', 'photo_pedestrian_southeast_8th_street', 'record_car_east_2nd_street']
Our agent must always maintain both change light_east yellow and get_help.;G(change_light_east_yellow & get_help);['get_help', 'change_light_east_yellow']
You must always maintain both get_help and record the pedestrian on east_1st_street.;G(get_help & record_pedestrian_east_1st_street);['get_help', 'record_pedestrian_east_1st_street']
Both record the car on southeast_5th_street and record the jaywalker on southwest_7th_avenue hold at every step.;G(record_car_southeast_5th_street & record_jaywalker_southwest_7th_avenue);['record_car_southeast_5th_street', 'record_jaywalker_southwest_7th_avenue']
This controller must always maintain both get_help and pickup the donut.;G(get_help & pickup_donut);['get_help', 'pickup_donut']
Both record unstable_beam and photo injured_rescuer hold at every step.;G(photo_injured_rescuer & record_unstable_beam);['record_unstable_beam', 'photo_injured_rescuer']
Our agent must always maintain both search the bird and deliver the donut to the shelf.;G(deliver_donut_shelf & search_bird);['search_bird', 'deliver_donut_shelf']
Both get_help and search the surfboard hold at every step.;G(get_help & search_surfboard);['get_help', 'search_surfboard']
Both idle and search the knife hold at every step.;G(idle & search_knife);['idle', 'search_knife']
The system must always maintain both pickup the teddy-bear and get_help.;G(get_help & pickup_teddy_bear);['get_help', 'pickup_teddy_bear']
This controller must always maintain both photo the jaywalker on north_5th_street and record the collision on east_3rd_street.;G(photo_jaywalker_north_5th_street & record_collision_east_3rd_street);['photo_jaywalker_north_5th_street', 'record_collision_east_3rd_street']
Our agent must always maintain both pickup the elephant and deliver the stop_sign to the loading_dock.;G(deliver_stop_sign_loading_dock & pickup_elephant);['pickup_elephant', 'deliver_stop_sign_loading_dock']
Both record the person on southwest_7th_avenue and get_help hold at every step.;G(get_help & record_person_southwest_7th_avenue);['get_help', 'record_person_southwest_7th_avenue']
When avoid the probable_unstable_beam happens, communicate the safe_hostile must hold now or in the next step.;G(avoid_probable_unstable_beam -> (communicate_safe_hostile | X communicate_safe_hostile));['communicate_safe_hostile', 'avoid_probable_unstable_beam']
When photo the car on southeast_8th_street happens, photo the vehicle on southeast_7th_avenue must hold now or in the next step.;G(photo_car_southeast_8th_street -> (photo_vehicle_southeast_7th_avenue | X photo_vehicle_southeast_7th_avenue));['photo_car_southeast_8th_street', 'photo_vehicle_southeast_7th_avenue']
When get_help happens, change light_north red must hold now or in the next step.;G(get_help -> (change_light_north_red | X change_light_north_red));['get_help', 'change_light_north_red']
When idle happensing, deliver the sheep to the shelf must hold now or in the next step.;G(idle -> (deliver_sheep_shelf | X deliver_sheep_shelf));['idle', 'deliver_sheep_shelf']
When get_help happens, deliver the book to the shelf must hold now or in the next step.;G(get_help -> (deliver_book_shelf | X deliver_book_shelf));['get_help', 'deliver_book_shelf']
When get_help happens, pickup the carrot must hold now or in the next step.;G(get_help -> (pickup_carrot | X pickup_carrot));['get_help', 'pickup_carrot']
When deliver_aid the injured_victim happens, deliver_aid the safe_rescuer must hold now or in the next step.;G(deliver_aid_injured_victim -> (deliver_aid_safe_rescuer | X deliver_aid_safe_rescuer));['deliver_aid_injured_victim', 'deliver_aid_safe_rescuer']
When search the snowboard happens, idle must hold now or in the next step.;G(search_snowboard->_idle | X idle);['idle', 'search_snowboard']
When get_help happens, record safe_person must hold now or in the next step.;G(get_help -> (record_safe_person | X record_safe_person));['get_help', 'record_safe_person']
When communicate the injured_hostile happens, deliver_aid the injured_victim must hold now or in the next step.;G(communicate_injured_hostile -> (deliver_aid_injured_victim | X deliver_aid_injured_victim));['deliver_aid_injured_victim', 'communicate_injured_hostile']
When deliver_aid the injured_victim happens, avoid the inactive_debris must hold now or in the next step.;G(deliver_aid_injured_victim -> (avoid_inactive_debris | X avoid_inactive_debris));['deliver_aid_injured_victim', 'avoid_inactive_debris']
When go_home happens, record flood must hold now or in the next step.;G(go_home -> (record_flood | X record_flood));['go_home', 'record_flood']
Whenever photo the motorcycle on north_4th_avenue holds, eventually photo the jaywalker on northeast_10th_street will hold.;G(photo_motorcycle_north_4th_avenue -> F photo_jaywalker_northeast_10th_street);['photo_motorcycle_north_4th_avenue', 'photo_jaywalker_northeast_10th_street']
Whenever pickup the book holds, eventually idle will hold.;G(pickup_book -> F idle);['idle', 'pickup_book']
Globally, if record unsafe_person occurs then finally avoid the impending_gas_leak happens.;G(record_unsafe_person -> F avoid_impending_gas_leak);['avoid_impending_gas_leak', 'record_unsafe_person']
Whenever communicate the injured_victim holds, eventually go_home will hold.;G(communicate_injured_victim -> F go_home);['communicate_injured_victim', 'go_home']
Whenever deliver_aid the injured_victim holds, eventually go_home will hold.;G(deliver_aid_injured_victim -> F go_home);['go_home', 'deliver_aid_injured_victim']
Whenever deliver_aid the injured_victim holds, eventually photo fire_source will hold.;G(deliver_aid_injured_victim -> F photo_fire_source);['deliver_aid_injured_victim', 'photo_fire_source']
Globally, if change light_north green occurs then finally record the collision on west_9th_avenue happens.;G(change_light_north_green -> F record_collision_west_9th_avenue);['change_light_north_green', 'record_collision_west_9th_avenue']
Globally, if get_help occurs then finally photo fire_source happens.;G(get_help -> F photo_fire_source);['get_help', 'photo_fire_source']
Whenever deliver the dining_table to the loading_dock holds, eventually idle will hold.;G(deliver_dining_table_loading_dock -> F idle);['idle', 'deliver_dining_table_loading_dock']
Globally, if idle occursing then finally get_help happens.;G_idle -> F get_help;['get_help', 'idle']
Whenever get_help holds, eventually change light_west red will hold.;G(get_help -> F change_light_west_red);['get_help', 'change_light_west_red']
Whenever search the horse holds, eventually idle will hold.;G(search_horse -> F idle);['idle', 'search_horse']
If every go_home is eventually followed by begining recording unsafe_victim, then get_help must occur infinitely often.;G(go_home -> F record_unsafe_victim) -> GF get_help;['get_help', 'go_home', 'record_unsafe_victim']
If every get_help is eventually followed by changeing light_west green, then change light_west yellow must occur infinitely often.;G(get_help -> F change_light_west_green) -> GF change_light_west_yellow;['get_help', 'change_light_west_yellow', 'change_light_west_green']
If every go_home is eventually followed by staying away from the nearest_fire_source, then deliver_aid the injured_rescuer must occur infinitely often.;G(go_home -> F avoid_nearest_fire_source) -> GF deliver_aid_injured_rescuer;['go_home', 'deliver_aid_injured_rescuer', 'avoid_nearest_fire_source']
If every record injured_person is eventually followed by going home, then photo debris must occur infinitely often.;G(record_injured_person -> F go_home) -> GF photo_debris;['go_home', 'record_injured_person', 'photo_debris']
If every search the traffic_light is eventually followed by pickup the skateboard, then search the giraffe must occur infinitely often.;G(search_traffic_light -> F pickup_skateboard) -> GF search_giraffe;['search_giraffe', 'pickup_skateboard', 'search_traffic_light']
If every go_home is eventually followed by calling for help, then deliver_aid the safe_hostile must occur infinitely often.;G_go_home -> F get_help -> GF deliver_aid_safe_hostile;['get_help', 'go_home', 'deliver_aid_safe_hostile']
If every get_help is eventually followed by establishing communication with the injured_hostile, then deliver_aid the safe_hostile must occur infinitely often.;G(get_help -> F communicate_injured_hostile) -> GF deliver_aid_safe_hostile;['get_help', 'deliver_aid_safe_hostile', 'communicate_injured_hostile']
If every pickup the teddy-bear is eventually followed by remaining still, then deliver the toaster to the shelf must occur infinitely often.;G(pickup_teddy_bear -> F idle) -> GF deliver_toaster_shelf;['idle', 'deliver_toaster_shelf', 'pickup_teddy_bear']
If every change light_north green is eventually followed by changeing light_south red, then change light_west red must occur infinitely often.;G(change_light_north_green -> F change_light_south_red) -> GF change_light_west_red;['change_light_west_red', 'change_light_south_red', 'change_light_north_green']
If every pickup the toaster is eventually followed by picking up the refrigerator, then get_help must occur infinitely often.;G(pickup_toaster -> F pickup_refrigerator) -> GF get_help;['get_help', 'pickup_toaster', 'pickup_refrigerator']
If every communicate the safe_victim is eventually followed by recording safe_rescuer, then avoid the active_fire_source must occur infinitely often.;G(communicate_safe_victim -> F record_safe_rescuer) -> GF avoid_active_fire_source;['communicate_safe_victim', 'record_safe_rescuer', 'avoid_active_fire_source']
If every get_help is eventually followed by going back to base, then record unstable_beam must occur infinitely often.;G_get_help -> F go_home -> GF record_unstable_beam;['get_help', 'go_home', 'record_unstable_beam']
Whenever change light_west yellow holds, from the next step onwards change light_east green will eventually hold.;G(change_light_west_yellow -> XF change_light_east_green);['change_light_west_yellow', 'change_light_east_green']
Whenever deliver the bird to the loading_dock holds, from the next step onwards pickup the stop_sign will eventually hold.;G(deliver_bird_loading_dock -> XF pickup_stop_sign);['deliver_bird_loading_dock', 'pickup_stop_sign']
Whenever get_help holds, from the next step onwards photo the pedestrian on north_9th_street will eventually hold.;G(get_help -> XF photo_pedestrian_north_9th_street);['get_help', 'photo_pedestrian_north_9th_street']
Whenever deliver the cake to the shelf holds, from the next step onwards get_help will eventually hold.;G(deliver_cake_shelf -> XF get_help);['get_help', 'deliver_cake_shelf']
Whenever deliver the sofa to the loading_dock holds, from the next step onwards pickup the chair will eventually hold.;G(deliver_sofa_loading_dock -> XF pickup_chair);['pickup_chair', 'deliver_sofa_loading_dock']
Whenever search the bowl holds, from the next step onwards search the apple will eventually hold.;G(search_bowl -> XF search_apple);['search_bowl', 'search_apple']
Whenever deliver the elephant to the loading_dock holds, from the next step onwards search the elephant will eventually hold.;G(deliver_elephant_loading_dock -> XF search_elephant);['search_elephant', 'deliver_elephant_loading_dock']
Whenever change light_north yellow holds, from the next step onwards get_help will eventually hold.;G(change_light_north_yellow -> XF get_help);['get_help', 'change_light_north_yellow']
Whenever photo safe_civilian holds, from the next step onwards photo unsafe_victim will eventually hold.;G(photo_safe_civilian -> XF photo_unsafe_victim);['photo_safe_civilian', 'photo_unsafe_victim']
Whenever record injured_rescuer holds, from the next step onwards record unstable_beam will eventually hold.;G(record_injured_rescuer -> XF record_unstable_beam);['record_injured_rescuer', 'record_unstable_beam']
Whenever get_help holds, from the next step onwards photo the person on northeast_7th_street will eventually hold.;G(get_help -> XF photo_person_northeast_7th_street);['get_help', 'photo_person_northeast_7th_street']
Whenever search the sandwich holds, from the next step onwards search the frisbee will eventually hold.;G(search_sandwich -> XF search_frisbee);['search_frisbee', 'search_sandwich']
Once deliver the bed to the loading_dock has occurred, search the wine_glass will never occur again.;G(deliver_bed_loading_dock -> XG!search_wine_glass);['search_wine_glass', 'deliver_bed_loading_dock']
Once photo the jaywalker on northeast_1st_street has occurred, photo the motorcycle on west_6th_street will never occur again.;G(photo_jaywalker_northeast_1st_street -> XG!photo_motorcycle_west_6th_street);['photo_motorcycle_west_6th_street', 'photo_jaywalker_northeast_1st_street']
Once get_help has occurred, pickup the tie will never occur again.;G(get_help -> XG!pickup_tie);['get_help', 'pickup_tie']
Once change light_north yellow has occurred, photo the vehicle on south_2nd_street will never occur again.;G(change_light_north_yellow -> XG!photo_vehicle_south_2nd_street);['change_light_north_yellow', 'photo_vehicle_south_2nd_street']
Once get_help has occurred, pickup the parking_meter will never occur again.;G(get_help -> XG!pickup_parking_meter);['get_help', 'pickup_parking_meter']
Once photo unsafe_civilian has occurred, go_home will never occur again.;G(photo_unsafe_civilian -> XG!go_home);['go_home', 'photo_unsafe_civilian']
Once get_help has occurred, change light_east red will never occur again.;G(get_help -> XG!change_light_east_red);['get_help', 'change_light_east_red']
Once get_help has occurred, deliver the refrigerator to the shelf will never occur again.;G(get_help -> XG!deliver_refrigerator_shelf);['get_help', 'deliver_refrigerator_shelf']
Once avoid the inactive_flood has occurred, record safe_civilian will never occur again.;G(avoid_inactive_flood -> XG!record_safe_civilian);['record_safe_civilian', 'avoid_inactive_flood']
Once get_help has occurred, change light_south green will never occur again.;G(get_help -> XG!change_light_south_green);['get_help', 'change_light_south_green']
Once idle has occurred, get_help will never occur again.;G_idle -> XG!get_help;['get_help', 'idle']
Once get_help has occurred, deliver_aid the injured_victim will never occur again.;G(get_help -> XG!deliver_aid_injured_victim);['get_help', 'deliver_aid_injured_victim']
Whenever communicate the safe_victim holds, photo unstable_beam holds exactly three steps later.;G(communicate_safe_victim -> XXX photo_unstable_beam);['communicate_safe_victim', 'photo_unstable_beam']
Whenever record gas_leak holds, photo unstable_beam holds exactly three steps later.;G(record_gas_leak -> XXX photo_unstable_beam);['record_gas_leak', 'photo_unstable_beam']
Whenever pickup the kite holds, pickup the backpack holds exactly three steps later.;G(pickup_kite -> XXX pickup_backpack);['pickup_kite', 'pickup_backpack']
Whenever get_help holds, record the cyclist on north_1st_street holds exactly three steps later.;G(get_help -> XXX record_cyclist_north_1st_street);['get_help', 'record_cyclist_north_1st_street']
Whenever avoid the probable_fire_source holds, communicate the injured_hostile holds exactly three steps later.;G(avoid_probable_fire_source -> XXX communicate_injured_hostile);['communicate_injured_hostile', 'avoid_probable_fire_source']
Whenever photo the jaywalker on east_6th_street holds, record the car on north_9th_avenue holds exactly three steps later.;G(photo_jaywalker_east_6th_street -> XXX record_car_north_9th_avenue);['photo_jaywalker_east_6th_street', 'record_car_north_9th_avenue']
Whenever avoid the nearest_debris holds, communicate the safe_hostile holds exactly three steps later.;G(avoid_nearest_debris -> XXX communicate_safe_hostile);['avoid_nearest_debris', 'communicate_safe_hostile']
Whenever get_help holds, avoid the impending_gas_leak holds exactly three steps later.;G(get_help -> XXX avoid_impending_gas_leak);['get_help', 'avoid_impending_gas_leak']
Whenever photo the jaywalker on south_1st_street holds, record the collision on southeast_5th_avenue holds exactly three steps later.;G(photo_jaywalker_south_1st_street -> XXX record_collision_southeast_5th_avenue);['record_collision_southeast_5th_avenue', 'photo_jaywalker_south_1st_street']
Whenever photo injured_rescuer holds, photo unstable_beam holds exactly three steps later.;G(photo_injured_rescuer -> XXX photo_unstable_beam);['photo_unstable_beam', 'photo_injured_rescuer']
Whenever get_help holds, record debris holds exactly three steps later.;G(get_help -> XXX record_debris);['get_help', 'record_debris']
Whenever go_home holds, communicate the safe_rescuer holds exactly three steps later.;G(go_home -> XXX communicate_safe_rescuer);['go_home', 'communicate_safe_rescuer']
Every go_home is directly followed by delivering aid to the injured_hostile in the next step.;G(go_home -> X deliver_aid_injured_hostile);['go_home', 'deliver_aid_injured_hostile']
Every get_help is directly followed by deliver the bed to the loading_dock in the next step.;G(get_help -> X deliver_bed_loading_dock);['get_help', 'deliver_bed_loading_dock']
Every change light_west red is directly followed by change light_north yellow in the next step.;G(change_light_west_red -> X change_light_north_yellow);['change_light_west_red', 'change_light_north_yellow']
Every record the vehicle on southwest_1st_street is directly followed by changeing light_south green in the next step.;G(record_vehicle_southwest_1st_street -> X change_light_south_green);['change_light_south_green', 'record_vehicle_southwest_1st_street']
Every get_help is directly followed by droping off the zebra to the loading_dock in the next step.;G(get_help -> X deliver_zebra_loading_dock);['get_help', 'deliver_zebra_loading_dock']
Every deliver_aid the injured_rescuer is directly followed by begining recording unsafe_rescuer in the next step.;G(deliver_aid_injured_rescuer -> X record_unsafe_rescuer);['deliver_aid_injured_rescuer', 'record_unsafe_rescuer']
Every change light_east red is directly followed by geting help in the next step.;G(change_light_east_red -> X get_help);['get_help', 'change_light_east_red']
Every communicate the injured_hostile is directly followed by talking to the safe_rescuer in the next step.;G(communicate_injured_hostile -> X communicate_safe_rescuer);['communicate_safe_rescuer', 'communicate_injured_hostile']
Every communicate the safe_victim is directly followed by calling for help in the next step.;G(communicate_safe_victim -> X get_help);['get_help', 'communicate_safe_victim']
Every get_help is directly followed by standing by in the next step.;G_get_help -> X idle;['get_help', 'idle']
Every deliver the boat to the loading_dock is directly followed by pickuping the traffic_light in the next step.;G(deliver_boat_loading_dock -> X pickup_traffic_light);['pickup_traffic_light', 'deliver_boat_loading_dock']
Every deliver_aid the injured_rescuer is directly followed by geting help in the next step.;G(deliver_aid_injured_rescuer -> X get_help);['get_help', 'deliver_aid_injured_rescuer']
Whenever go_home holds, avoid the nearest_flood holds as well.;G(go_home -> avoid_nearest_flood);['go_home', 'avoid_nearest_flood']
Whenever record safe_victim holds, photo unsafe_civilian holds as well.;G(record_safe_victim -> photo_unsafe_civilian);['record_safe_victim', 'photo_unsafe_civilian']
Whenever photo the jaywalker on northwest_5th_avenue holds, change light_north red holds as well.;G(photo_jaywalker_northwest_5th_avenue -> change_light_north_red);['change_light_north_red', 'photo_jaywalker_northwest_5th_avenue']
Whenever record the collision on east_6th_avenue holds, get_help holds as well.;G(record_collision_east_6th_avenue -> get_help);['get_help', 'record_collision_east_6th_avenue']
Whenever pickup the surfboard holds, idle holds as well.;G(pickup_surfboard -> idle);['idle', 'pickup_surfboard']
Whenever pickup the person holds, pickup the cow holds as well.;G(pickup_person -> pickup_cow);['pickup_cow', 'pickup_person']
Whenever get_help holds, photo fire_source holds as well.;G(get_help -> photo_fire_source);['get_help', 'photo_fire_source']
Whenever go_home holds, avoid the inactive_flood holds as well.;G(go_home -> avoid_inactive_flood);['go_home', 'avoid_inactive_flood']
Whenever photo the collision on south_9th_street holds, record the jaywalker on southeast_2nd_avenue holds as well.;G(photo_collision_south_9th_street -> record_jaywalker_southeast_2nd_avenue);['photo_collision_south_9th_street', 'record_jaywalker_southeast_2nd_avenue']
Whenever deliver the dining_table to the shelf holds, get_help holds as well.;G(deliver_dining_table_shelf -> get_help);['get_help', 'deliver_dining_table_shelf']
Whenever change light_west red holds, record the collision on northeast_10th_avenue holds as well.;G(change_light_west_red -> record_collision_northeast_10th_avenue);['change_light_west_red', 'record_collision_northeast_10th_avenue']
Whenever record the cyclist on north_5th_street holds, get_help holds as well.;G(record_cyclist_north_5th_street -> get_help);['get_help', 'record_cyclist_north_5th_street']
At every step, record the pedestrian on north_5th_avenue equals the value of change light_east green in the next step.;G(record_pedestrian_north_5th_avenue <-> X change_light_east_green);['change_light_east_green', 'record_pedestrian_north_5th_avenue']
At every step, pickup the refrigerator equals the value of search the bed in the next step.;G(pickup_refrigerator <-> X search_bed);['search_bed', 'pickup_refrigerator']
At every step, change light_north yellow equals the value of record the cyclist on west_1st_avenue in the next step.;G(change_light_north_yellow <-> X record_cyclist_west_1st_avenue);['change_light_north_yellow', 'record_cyclist_west_1st_avenue']
At every step, photo injured_victim equals the value of communicate the safe_rescuer in the next step.;G(photo_injured_victim <-> X communicate_safe_rescuer);['photo_injured_victim', 'communicate_safe_rescuer']
At every step, record the cyclist on west_10th_avenue equals the value of change light_north yellow in the next step.;G(record_cyclist_west_10th_avenue <-> X change_light_north_yellow);['change_light_north_yellow', 'record_cyclist_west_10th_avenue']
At every step, avoid the probable_flood equals the value of go_home in the next step.;G(avoid_probable_flood <-> X go_home);['avoid_probable_flood', 'go_home']
At every step, avoid the active_flood equals the value of communicate the safe_victim in the next step.;G(avoid_active_flood <-> X communicate_safe_victim);['communicate_safe_victim', 'avoid_active_flood']
At every step, change light_south green equals the value of photo the collision on southwest_6th_street in the next step.;G(change_light_south_green <-> X photo_collision_southwest_6th_street);['change_light_south_green', 'photo_collision_southwest_6th_street']
At every step, get_help equals the value of photo the motorcycle on southeast_1st_street in the next step.;G(get_help <-> X photo_motorcycle_southeast_1st_street);['get_help', 'photo_motorcycle_southeast_1st_street']
At every step, communicate the safe_rescuer equals the value of photo unsafe_rescuer in the next step.;G(communicate_safe_rescuer <-> X photo_unsafe_rescuer);['communicate_safe_rescuer', 'photo_unsafe_rescuer']
At every step, search the spoon equals the value of deliver the wine_glass to the shelf in the next step.;G(search_spoon <-> X deliver_wine_glass_shelf);['search_spoon', 'deliver_wine_glass_shelf']
At every step, get_help equals the value of photo injured_person in the next step.;G(get_help <-> X photo_injured_person);['get_help', 'photo_injured_person']
This controller must always have either change light_east green or record the person on east_9th_street.;G(change_light_east_green | record_person_east_9th_street);['change_light_east_green', 'record_person_east_9th_street']
The system must always have either deliver the laptop to the loading_dock or search the keyboard.;G(deliver_laptop_loading_dock | search_keyboard);['search_keyboard', 'deliver_laptop_loading_dock']
This controller must always have either photo the collision on north_1st_avenue or photo the motorcycle on east_9th_street.;G(photo_collision_north_1st_avenue | photo_motorcycle_east_9th_street);['photo_motorcycle_east_9th_street', 'photo_collision_north_1st_avenue']
The system must always have either get_help or change light_east red.;G(change_light_east_red | get_help);['get_help', 'change_light_east_red']
You must always have either get_help or search the zebra.;G(get_help | search_zebra);['get_help', 'search_zebra']
This controller must always have either record injured_victim or avoid the nearest_unstable_beam.;G(avoid_nearest_unstable_beam | record_injured_victim);['avoid_nearest_unstable_beam', 'record_injured_victim']
You must always have either get_help or deliver the sports_ball to the loading_dock.;G(deliver_sports_ball_loading_dock | get_help);['get_help', 'deliver_sports_ball_loading_dock']
The system must always have either get_help or record the vehicle on east_1st_avenue.;G(get_help | record_vehicle_east_1st_avenue);['get_help', 'record_vehicle_east_1st_avenue']
The robot must always have either get_help or record safe_victim.;G(get_help | record_safe_victim);['get_help', 'record_safe_victim']
Our agent must always have either photo the cyclist on north_7th_avenue or photo the pedestrian on south_4th_avenue.;G(photo_cyclist_north_7th_avenue | photo_pedestrian_south_4th_avenue);['photo_cyclist_north_7th_avenue', 'photo_pedestrian_south_4th_avenue']
The robot must always have either go_home or deliver_aid the safe_hostile.;G(deliver_aid_safe_hostile | go_home);['go_home', 'deliver_aid_safe_hostile']
This controller must always have either search the kite or get_help.;G(get_help | search_kite);['get_help', 'search_kite']
If search the hair-drier happens infinitely often, then so does get_help.;GF search_hair_drier -> GF get_help;['get_help', 'search_hair_drier']
If communicate the safe_rescuer happens infinitely often, then so does get_help.;GF communicate_safe_rescuer -> GF get_help;['get_help', 'communicate_safe_rescuer']
If pickup the umbrella happens infinitely often, then so does get_help.;GF pickup_umbrella -> GF get_help;['get_help', 'pickup_umbrella']
If record safe_civilian happens infinitely often, then so does get_help.;GF record_safe_civilian -> GF get_help;['get_help', 'record_safe_civilian']
If photo the pedestrian on north_3rd_street happens infinitely often, then so does get_help.;GF photo_pedestrian_north_3rd_street -> GF get_help;['get_help', 'photo_pedestrian_north_3rd_street']
If search the sink happens infinitely often, then so does search the horse.;GF search_sink -> GF search_horse;['search_sink', 'search_horse']
If photo the person on southeast_5th_avenue happens infinitely often, then so does record the person on east_2nd_avenue.;GF photo_person_southeast_5th_avenue -> GF record_person_east_2nd_avenue;['photo_person_southeast_5th_avenue', 'record_person_east_2nd_avenue']
If change light_north yellow happens infinitely often, then so does get_help.;GF change_light_north_yellow -> GF get_help;['get_help', 'change_light_north_yellow']
If get_help happens infinitely often, then so does photo flood.;GF get_help -> GF photo_flood;['get_help', 'photo_flood']
If record safe_victim happens infinitely often, then so does go_home.;GF record_safe_victim -> GF go_home;['go_home', 'record_safe_victim']
If get_help happens infinitely often, then so does record the motorcycle on northeast_7th_avenue.;GF get_help -> GF record_motorcycle_northeast_7th_avenue;['get_help', 'record_motorcycle_northeast_7th_avenue']
If get_help happens infinitely often, then so does photo the collision on south_3rd_street.;GF get_help -> GF photo_collision_south_3rd_street;['get_help', 'photo_collision_south_3rd_street']
Either photo the collision on east_5th_avenue or record the car on west_8th_street happens infinitely often.;GF photo_collision_east_5th_avenue | GF record_car_west_8th_street;['photo_collision_east_5th_avenue', 'record_car_west_8th_street']
Either photo safe_civilian or photo gas_leak happens infinitely often.;GF photo_safe_civilian | GF photo_gas_leak;['photo_gas_leak', 'photo_safe_civilian']
Either deliver the sofa to the loading_dock or idle happens infinitely often.;GF deliver_sofa_loading_dock | GF idle;['idle', 'deliver_sofa_loading_dock']
Either record flood or get_help happens infinitely often.;GF record_flood | GF get_help;['get_help', 'record_flood']
Either get_help or pickup the suitcase happens infinitely often.;GF get_help | GF pickup_suitcase;['get_help', 'pickup_suitcase']
Either pickup the person or idle happens infinitely often.;GF pickup_person | GF idle;['idle', 'pickup_person']
Either deliver the wine_glass to the shelf or search the mouse happens infinitely often.;GF deliver_wine_glass_shelf | GF search_mouse;['search_mouse', 'deliver_wine_glass_shelf']
Either idle or pickup the carrot happens infinitely often.;GF idle | GF pickup_carrot;['idle', 'pickup_carrot']
Either avoid the active_flood or avoid the inactive_flood happens infinitely often.;GF avoid_active_flood | GF avoid_inactive_flood;['avoid_active_flood', 'avoid_inactive_flood']
